q	S(q)
41.187500	1.381155 
41.312500	0.488248 
41.437500	0.024662 
41.562500	0.559305 
41.687500	1.939230 
41.812500	3.333171 
41.937500	3.746320 
42.062500	2.721590 
42.187500	0.765873 
42.312500	-0.871486 
42.437500	-1.033132 
42.562500	0.443788 
42.687500	2.487597 
42.812500	3.528674 
42.937500	2.732485 
43.062500	0.734118 
43.187500	-0.816402 
43.312500	-0.610979 
43.437500	1.179719 
43.562500	3.007524 
43.687500	3.260205 
43.812500	1.666507 
43.937500	-0.459679 
44.062500	-1.378474 
44.187500	-0.460632 
44.312500	1.282923 
44.437500	2.154709 
44.562500	1.328401 
44.687500	-0.415773 
44.812500	-1.433247 
44.937500	-0.724075 
45.062500	1.186177 
45.187500	2.767531 
45.312500	2.870237 
45.437500	1.676186 
45.562500	0.397908 
45.687500	0.108921 
45.812500	0.847264 
45.937500	1.765693 
46.062500	2.044281 
46.187500	1.603692 
46.312500	0.980869 
46.437500	0.640873 
46.562500	0.529540 
46.687500	0.310176 
46.812500	-0.077880 
46.937500	-0.253192 
47.062500	0.145646 
47.187500	0.901743 
47.312500	1.281271 
47.437500	0.779704 
47.562500	-0.192709 
47.687500	-0.498159 
47.812500	0.693039 
47.937500	2.967191 
48.062500	4.811940 
48.187500	4.837418 
48.312500	3.000100 
48.437500	0.675967 
48.562500	-0.524836 
48.687500	-0.123348 
48.812500	0.935042 
48.937500	1.293167 
49.062500	0.505392 
49.187500	-0.580382 
49.312500	-0.696213 
49.437500	0.599781 
49.562500	2.490488 
49.687500	3.631757 
49.812500	3.294342 
49.937500	1.855178 
