bin                 q                   two_theta           Fx                  Icoh               
165                 8.275000            -1.000000           -1.202849           -20.160899         
166                 8.325000            -1.000000           -1.168396           -16.541175         
167                 8.375000            -1.000000           -1.134473           -13.055795         
168                 8.425000            -1.000000           -1.216421           -20.769912         
169                 8.475000            -1.000000           -1.352220           -33.415638         
170                 8.525000            -1.000000           -1.316299           -29.666704         
171                 8.575000            -1.000000           -0.860415           12.944433          
172                 8.625000            -1.000000           0.097098            100.599146         
173                 8.675000            -1.000000           1.353449            213.400409         
174                 8.725000            -1.000000           2.461862            310.439620         
175                 8.775000            -1.000000           2.927767            348.357914         
176                 8.825000            -1.000000           2.464411            303.918997         
177                 8.875000            -1.000000           1.169697            188.283320         
178                 8.925000            -1.000000           -0.478382           44.780130          
179                 8.975000            -1.000000           -1.816637           -69.361460         
180                 9.025000            -1.000000           -2.290954           -108.490751        
181                 9.075000            -1.000000           -1.706995           -58.793197         
182                 9.125000            -1.000000           -0.316504           56.248651          
183                 9.175000            -1.000000           1.299219            187.265734         
184                 9.225000            -1.000000           2.488893            281.257264         
185                 9.275000            -1.000000           2.809273            303.971443         
186                 9.325000            -1.000000           2.195050            252.394235         
187                 9.375000            -1.000000           0.951553            152.626413         
188                 9.425000            -1.000000           -0.413059           45.449370          
189                 9.475000            -1.000000           -1.427284           -32.762010         
190                 9.525000            -1.000000           -1.852423           -64.724094         
191                 9.575000            -1.000000           -1.749170           -56.335839         
192                 9.625000            -1.000000           -1.395677           -29.469627         
193                 9.675000            -1.000000           -1.110458           -8.148862          
194                 9.725000            -1.000000           -1.076506           -5.591086          
195                 9.775000            -1.000000           -1.256736           -18.587800         
196                 9.825000            -1.000000           -1.439549           -31.529883         
197                 9.875000            -1.000000           -1.383256           -27.240415         
198                 9.925000            -1.000000           -0.975722           1.709948           
199                 9.975000            -1.000000           -0.318499           47.568444          
200                 10.025000           -1.000000           0.312885            90.823113          
201                 10.075000           -1.000000           0.611745            110.514257         
