# Histogrammed data for fix fave
# TimeStep Number-of-bins Total-counts Missing-counts Min-value Max-value
# Bin Coord Count Count/Total
0 250 329312697.5619732 0 10.043521840783393 99.97840508922243
211 85.78 2.64522e-22 8.03253e-31
212 86.14 3.56681e-22 1.08311e-30
213 86.5 1.14455e-22 3.47559e-31
214 86.86 3.83068e-22 1.16324e-30
215 87.22 1.52171e-22 4.62086e-31
216 87.58 1.84561e-22 5.60442e-31
217 87.94 3.6584e-22 1.11092e-30
218 88.3 1.60547e-22 4.87522e-31
219 88.66 1.48068e-22 4.49626e-31
220 89.02 4.05879e-22 1.2325e-30
221 89.38 4.32588e-22 1.31361e-30
222 89.74 5.9938e-22 1.8201e-30
223 90.1 2.3725e-22 7.20441e-31
224 90.46 9.57184e-23 2.90661e-31
225 90.82 2.56016e-22 7.77425e-31
226 91.18 2.81582e-22 8.55059e-31
227 91.54 1.95097e-22 5.92438e-31
228 91.9 5.04648e-22 1.53243e-30
229 92.26 1.67134e-22 5.07523e-31
230 92.62 2.85817e-22 8.67921e-31
231 92.98 4.94903e+07 0.150284
232 93.34 1.56113e-22 4.74057e-31
233 93.7 1.43284e-22 4.35099e-31
234 94.06 5.49402e-22 1.66833e-30
235 94.42 2.35048e-22 7.13754e-31
236 94.78 3.62254e-22 1.10003e-30
237 95.14 1.37385e-22 4.17187e-31
238 95.5 1.72388e-22 5.23479e-31
239 95.86 1.12678e-22 3.42161e-31
240 96.22 3.05774e-22 9.28522e-31
241 96.58 1.15077e-21 3.49447e-30
242 96.94 2.17957e-22 6.61854e-31
243 97.3 8.56685e-23 2.60143e-31
244 97.66 2.54062e-22 7.71491e-31
245 98.02 1.73063e-22 5.25529e-31
246 98.38 2.18462e-22 6.63387e-31
247 98.74 1.50695e+07 0.0457604
248 99.1 1.45681e-22 4.4238e-31
249 99.46 2.15189e-22 6.53447e-31
250 99.82 5.29838e-22 1.60892e-30
