k	S(k)
4.276546	0.000000
4.283990	0.000000
4.287707	0.000000
4.291421	0.000000
4.295132	0.000000
4.298839	0.000000
4.302544	0.000000
4.306245	0.000000
4.313637	0.000000
4.317329	0.000000
4.321017	0.000000
4.324703	0.000000
4.328385	0.000000
4.332064	0.000000
4.335740	0.000000
4.343082	0.000000
4.346749	0.000000
4.350412	0.000000
4.354073	0.000000
4.357730	0.000000
4.361384	0.000000
4.365036	0.000000
4.372329	0.000000
4.375971	0.000000
4.379610	0.000000
4.383246	0.000000
4.390509	0.000000
4.394136	0.000000
4.401381	0.000000
4.404999	0.000000
4.408614	0.000000
4.412227	0.000000
4.415836	0.000000
4.419442	0.000000
4.423045	0.000000
4.430243	0.000000
4.433838	0.000000
4.437429	0.000000
4.441018	0.000000
4.444604	0.000000
4.448187	0.000000
4.451767	0.000000
4.462490	0.000000
4.466058	0.000000
4.469624	0.000000
4.473187	0.000000
4.476747	0.000000
4.480304	0.000000
4.487410	0.000000
4.490959	0.000000
4.494505	0.000000
4.498048	0.000000
4.505126	0.000000
4.508661	0.000000
4.515722	0.000000
4.519248	0.000000
4.522772	0.000000
4.526293	0.000000
4.529812	0.000000
4.533327	0.000000
4.536840	0.000000
4.543858	0.000000
4.547362	0.000000
4.550864	0.000000
4.554364	0.000000
4.557860	0.000000
4.561354	0.000000
4.564845	0.000000
4.571820	0.000000
4.575303	0.000000
4.578784	0.000000
4.582262	0.000000
4.585737	0.000000
4.589210	0.000000
4.592680	0.000000
4.599612	0.000000
4.603075	0.000000
4.606534	0.000000
4.609991	0.000000
4.616898	0.000000
4.620347	0.000000
4.627238	0.000000
4.630680	0.000000
4.634119	0.000000
4.637555	0.000000
4.640989	0.000000
4.644421	0.000000
4.647849	0.000000
4.654700	0.000000
4.658121	0.000000
4.661540	0.000000
4.664956	0.000000
4.668370	0.000000
4.671781	0.000000
4.675190	0.000000
4.682000	0.000000
4.685402	0.000000
4.688800	0.000000
4.692197	0.000000
4.695591	0.000000
4.698982	0.000000
4.702372	0.000000
4.709142	0.000000
4.712524	0.000000
4.715904	0.000000
4.719281	0.000000
4.726027	0.000000
4.729397	0.000000
4.736129	0.000000
4.739492	0.000000
4.742852	0.000000
4.746210	0.000000
4.749565	0.000000
4.752918	0.000000
4.756269	0.000000
4.762963	0.000000
4.766307	0.000000
4.769648	0.000000
4.772987	0.000000
4.776323	0.000000
4.779658	0.000000
4.782989	0.000000
4.789646	0.000000
4.792971	0.000000
4.796294	0.000000
4.799614	0.000000
4.802933	0.000000
4.806248	0.000000
4.809562	0.000000
4.816182	0.000000
4.819489	0.000000
4.822793	0.000000
4.826095	0.000000
4.832693	0.000000
4.835988	0.000000
4.842572	0.000000
4.845861	0.000000
4.849147	0.000000
4.852432	0.000000
4.855714	0.000000
4.858993	0.000000
4.862271	0.000000
4.868819	0.000000
4.872090	0.000000
4.875359	0.000000
4.878626	0.000000
4.881890	0.000000
4.885152	0.000000
4.888412	0.000000
4.898179	0.000000
4.901431	0.000000
4.904680	0.000000
4.907927	0.000000
4.911172	0.000000
4.914415	0.000000
4.920894	0.000000
4.924130	0.000000
4.927365	0.000000
4.930597	0.000000
4.937055	0.000000
4.940280	0.000000
4.946726	0.000000
4.949945	0.000000
4.953162	0.000000
4.956378	0.000000
4.959591	0.000000
4.962802	0.000000
4.966011	0.000000
4.972423	0.000000
4.975626	0.000000
4.978827	0.000000
4.982025	0.000000
4.985222	0.000000
4.988417	0.000000
4.991609	0.000000
4.997988	0.000000
5.001175	0.000000
5.004359	0.000000
5.007542	0.000000
5.010722	0.000000
5.013900	0.000000
5.017077	0.000000
5.023424	0.000000
5.026594	0.000000
5.029762	0.000000
5.032929	0.000000
5.039255	0.000000
5.042416	0.000000
5.048731	800.000000
5.051885	0.000000
5.055038	0.000000
5.058188	0.000000
5.061337	0.000000
5.064483	0.000000
5.067628	0.000000
5.073911	0.000000
5.077050	0.000000
5.080187	0.000000
5.083322	0.000000
5.086455	0.000000
5.089586	0.000000
5.092715	0.000000
5.098968	0.000000
5.102091	0.000000
