type                Na_Na               Na_Cl               Cl_Na               Cl_Cl               
0.185500            8.689926            -7.761094           -7.761094           8.689926            
0.186500            10.093359           -8.913271           -8.913271           10.093359           
0.187500            11.428028           -10.005288          -10.005288          11.428028           
0.188500            12.688233           -11.032477          -11.032477          12.688233           
0.189500            13.868688           -11.990525          -11.990525          13.868688           
0.190500            14.964540           -12.875498          -12.875498          14.964540           
0.191500            15.971389           -13.683849          -13.683849          15.971389           
0.192500            16.885306           -14.412432          -14.412432          16.885306           
0.193500            17.702842           -15.058516          -15.058516          17.702842           
0.194500            18.421043           -15.619792          -15.619792          18.421043           
0.195500            19.037459           -16.094380          -16.094380          19.037459           
0.196500            19.550149           -16.480833          -16.480833          19.550149           
0.197500            19.957686           -16.778140          -16.778140          19.957686           
0.198500            20.259159           -16.985729          -16.985729          20.259159           
0.199500            20.454172           -17.103460          -17.103460          20.454172           
0.200500            20.542840           -17.131628          -17.131628          20.542840           
0.201500            20.525786           -17.070954          -17.070954          20.525786           
0.202500            20.404129           -16.922575          -16.922575          20.404129           
0.203500            20.179479           -16.688043          -16.688043          20.179479           
0.204500            19.853921           -16.369304          -16.369304          19.853921           
0.205500            19.430004           -15.968691          -15.968691          19.430004           
0.206500            18.910719           -15.488908          -15.488908          18.910719           
0.207500            18.299487           -14.933014          -14.933014          18.299487           
0.208500            17.600136           -14.304405          -14.304405          17.600136           
0.209500            16.816877           -13.606794          -13.606794          16.816877           
0.210500            15.954286           -12.844191          -12.844191          15.954286           
0.211500            15.017272           -12.020881          -12.020881          15.017272           
0.212500            14.011058           -11.141403          -11.141403          14.011058           
0.213500            12.941146           -10.210523          -10.210523          12.941146           
0.214500            11.813296           -9.233212           -9.233212           11.813296           
0.215500            10.633489           -8.214619           -8.214619           10.633489           
0.216500            9.407903            -7.160044           -7.160044           9.407903            
0.217500            8.142876            -6.074915           -6.074915           8.142876            
0.218500            6.844881            -4.964757           -4.964757           6.844881            
0.219500            5.520487            -3.835168           -3.835168           5.520487            
0.220500            4.176333            -2.691788           -2.691788           4.176333            
0.221500            2.819093            -1.540276           -1.540276           2.819093            
0.222500            1.455444            -0.386281           -0.386281           1.455444            
0.223500            0.092034            0.764588            0.764588            0.092034            
0.224500            -1.264548           1.906782            1.906782            -1.264548           
0.225500            -2.607803           3.034844            3.034844            -2.607803           
0.226500            -3.931354           4.143429            4.143429            -3.931354           
0.227500            -5.228973           5.227335            5.227335            -5.228973           
0.228500            -6.494611           6.281521            6.281521            -6.494611           
0.229500            -7.722424           7.301130            7.301130            -7.722424           
0.230500            -8.906801           8.281515            8.281515            -8.906801           
0.231500            -10.042386          9.218256            9.218256            -10.042386          
0.232500            -11.124104          10.107179           10.107179           -11.124104          
0.233500            -12.147180          10.944378           10.944378           -12.147180          
0.234500            -13.107163          11.726225           11.726225           -13.107163          
0.235500            -13.999942          12.449391           12.449391           -13.999942          
0.236500            -14.821761          13.110856           13.110856           -14.821761          
0.237500            -15.569240          13.707922           13.707922           -15.569240          
0.238500            -16.239381          14.238223           14.238223           -16.239381          
0.239500            -16.829583          14.699735           14.699735           -16.829583          
0.240500            -17.337653          15.090782           15.090782           -17.337653          
0.241500            -17.761808          15.410041           15.410041           -17.761808          
0.242500            -18.100685          15.656544           15.656544           -18.100685          
0.243500            -18.353339          15.829685           15.829685           -18.353339          
0.244500            -18.519252          15.929212           15.929212           -18.519252          
0.245500            -18.598323          15.955235           15.955235           -18.598323          
0.246500            -18.590871          15.908214           15.908214           -18.590871          
0.247500            -18.497630          15.788959           15.788959           -18.497630          
0.248500            -18.319739          15.598622           15.598622           -18.319739          
0.249500            -18.058737          15.338690           15.338690           -18.058737          
0.250500            -17.716548          15.010972           15.010972           -17.716548          
0.251500            -17.295474          14.617593           14.617593           -17.295474          
0.252500            -16.798178          14.160975           14.160975           -16.798178          
0.253500            -16.227668          13.643830           13.643830           -16.227668          
0.254500            -15.587284          13.069139           13.069139           -15.587284          
0.255500            -14.880672          12.440139           12.440139           -14.880672          
0.256500            -14.111772          11.760303           11.760303           -14.111772          
0.257500            -13.284792          11.033327           11.033327           -13.284792          
0.258500            -12.404190          10.263101           10.263101           -12.404190          
0.259500            -11.474644          9.453700            9.453700            -11.474644          
0.260500            -10.501035          8.609354            8.609354            -10.501035          
0.261500            -9.488420           7.734431            7.734431            -9.488420           
0.262500            -8.442001           6.833414            6.833414            -8.442001           
0.263500            -7.367110           5.910879            5.910879            -7.367110           
0.264500            -6.269171           4.971473            4.971473            -6.269171           
0.265500            -5.153682           4.019888            4.019888            -5.153682           
0.266500            -4.026181           3.060841            3.060841            -4.026181           
0.267500            -2.892226           2.099051            2.099051            -2.892226           
0.268500            -1.757364           1.139215            1.139215            -1.757364           
0.269500            -0.627105           0.185986            0.185986            -0.627105           
0.270500            0.493105            -0.756047           -0.756047           0.493105            
0.271500            1.597906            -1.682385           -1.682385           1.597906            
0.272500            2.682052            -2.588637           -2.588637           2.682052            
0.273500            3.740437            -3.470541           -3.470541           3.740437            
0.274500            4.768113            -4.323981           -4.323981           4.768113            
0.275500            5.760319            -5.145011           -5.145011           5.760319            
0.276500            6.712498            -5.929870           -5.929870           6.712498            
0.277500            7.620318            -6.674997           -6.674997           7.620318            
0.278500            8.479694            -7.377052           -7.377052           8.479694            
0.279500            9.286803            -8.032924           -8.032924           9.286803            
0.280500            10.038101           -8.639749           -8.639749           10.038101           
0.281500            10.730340           -9.194921           -9.194921           10.730340           
0.282500            11.360578           -9.696102           -9.696102           11.360578           
0.283500            11.926196           -10.141232          -10.141232          11.926196           
0.284500            12.424903           -10.528538          -10.528538          12.424903           
0.285500            12.854748           -10.856539          -10.856539          12.854748           
0.286500            13.214125           -11.124050          -11.124050          13.214125           
0.287500            13.501782           -11.330190          -11.330190          13.501782           
0.288500            13.716821           -11.474381          -11.474381          13.716821           
0.289500            13.858699           -11.556348          -11.556348          13.858699           
0.290500            13.927234           -11.576122          -11.576122          13.927234           
0.291500            13.922597           -11.534034          -11.534034          13.922597           
0.292500            13.845312           -11.430713          -11.430713          13.845312           
0.293500            13.696250           -11.267081          -11.267081          13.696250           
0.294500            13.476625           -11.044347          -11.044347          13.476625           
0.295500            13.187982           -10.763999          -10.763999          13.187982           
0.296500            12.832190           -10.427792          -10.427792          12.832190           
0.297500            12.411430           -10.037745          -10.037745          12.411430           
0.298500            11.928182           -9.596121           -9.596121           11.928182           
0.299500            11.385212           -9.105421           -9.105421           11.385212           
0.300500            10.785556           -8.568367           -8.568367           10.785556           
0.301500            10.132506           -7.987888           -7.987888           10.132506           
0.302500            9.429587            -7.367105           -7.367105           9.429587            
0.303500            8.680544            -6.709316           -6.709316           8.680544            
0.304500            7.889322            -6.017974           -6.017974           7.889322            
0.305500            7.060040            -5.296675           -5.296675           7.060040            
0.306500            6.196979            -4.549138           -4.549138           6.196979            
0.307500            5.304552            -3.779184           -3.779184           5.304552            
0.308500            4.387286            -2.990720           -2.990720           4.387286            
0.309500            3.449801            -2.187717           -2.187717           3.449801            
0.310500            2.496783            -1.374191           -1.374191           2.496783            
0.311500            1.532963            -0.554184           -0.554184           1.532963            
0.312500            0.563096            0.268253            0.268253            0.563096            
0.313500            -0.408068           1.089088            1.089088            -0.408068           
0.314500            -1.375799           1.904318            1.904318            -1.375799           
0.315500            -2.335416           2.709994            2.709994            -2.335416           
0.316500            -3.282307           3.502237            3.502237            -3.282307           
0.317500            -4.211949           4.277258            4.277258            -4.211949           
0.318500            -5.119934           5.031375            5.031375            -5.119934           
0.319500            -6.001983           5.761032            5.761032            -6.001983           
0.320500            -6.853973           6.462810            6.462810            -6.853973           
0.321500            -7.671950           7.133452            7.133452            -7.671950           
