bin                 q                   two_theta           Fx                  Icoh               
355                 3.555000            51.676561           -0.901277           9.084341           
356                 3.565000            51.832703           -0.927843           7.132158           
357                 3.575000            51.988949           -0.952341           5.341973           
358                 3.585000            52.145298           -0.976580           3.582136           
359                 3.595000            52.301752           -1.002413           1.719535           
360                 3.605000            52.458311           -1.031392           -0.355586          
361                 3.615000            52.614976           -1.064438           -2.706718          
362                 3.625000            52.771746           -1.101565           -5.332075          
363                 3.635000            52.928623           -1.141672           -8.151149          
364                 3.645000            53.085607           -1.182436           -10.998111         
365                 3.655000            53.242698           -1.220303           -13.622843         
366                 3.665000            53.399897           -1.250596           -15.699811         
367                 3.675000            53.557205           -1.267734           -16.844465         
368                 3.685000            53.714622           -1.265544           -16.636249         
369                 3.695000            53.872149           -1.237665           -14.646845         
370                 3.705000            54.029785           -1.178000           -10.471851         
371                 3.715000            54.187533           -1.081200           -3.763795          
372                 3.725000            54.345391           -0.943147           5.735771           
373                 3.735000            54.503361           -0.761393           18.167368          
374                 3.745000            54.661444           -0.535537           33.530027          
375                 3.755000            54.819639           -0.267492           51.664926          
376                 3.765000            54.977947           0.038357            72.247700          
377                 3.775000            55.136370           0.375147            94.790396          
378                 3.785000            55.294907           0.733674            118.653458         
379                 3.795000            55.453558           1.102682            143.067517         
380                 3.805000            55.612326           1.469291            167.164169         
381                 3.815000            55.771209           1.819542            190.014305         
382                 3.825000            55.930209           2.139052            210.672085         
383                 3.835000            56.089327           2.413712            228.222245         
384                 3.845000            56.248562           2.630427            241.828125         
385                 3.855000            56.407915           2.777829            250.777731         
386                 3.865000            56.567388           2.846938            254.525133         
387                 3.875000            56.726979           2.831724            252.724725         
388                 3.885000            56.886691           2.729539            245.256209         
389                 3.895000            57.046524           2.541385            232.238631         
390                 3.905000            57.206478           2.272005            214.032387         
391                 3.915000            57.366554           1.929778            191.228769         
392                 3.925000            57.526752           1.526428            164.627302         
393                 3.935000            57.687073           1.076543            135.201823         
394                 3.945000            57.847518           0.596943            104.056887         
395                 3.955000            58.008087           0.105908            72.376649          
396                 3.965000            58.168781           -0.377678           41.368831          
397                 3.975000            58.329600           -0.835236           12.206686          
398                 3.985000            58.490546           -1.249400           -14.027984         
399                 3.995000            58.651618           -1.604877           -36.397691         
400                 4.005000            58.812817           -1.889211           -54.155166         
401                 4.015000            58.974144           -2.093414           -66.779782         
402                 4.025000            59.135600           -2.212416           -74.002475         
403                 4.035000            59.297185           -2.245321           -75.817769         
404                 4.045000            59.458900           -2.195452           -72.482153         
405                 4.055000            59.620745           -2.070164           -64.498861         
406                 4.065000            59.782721           -1.880455           -52.589775         
407                 4.075000            59.944829           -1.640379           -37.655928         
408                 4.085000            60.107070           -1.366294           -20.728685         
409                 4.095000            60.269443           -1.075987           -2.914188          
410                 4.105000            60.431950           -0.787725           14.665956          
411                 4.115000            60.594591           -0.519267           30.934562          
412                 4.125000            60.757368           -0.286916           44.916122          
413                 4.135000            60.920280           -0.104636           55.788335          
414                 4.145000            61.083328           0.016702            62.925148          
415                 4.155000            61.246513           0.069902            65.928997          
416                 4.165000            61.409836           0.051835            64.650525          
417                 4.175000            61.573298           -0.036398           59.194740          
418                 4.185000            61.736898           -0.189526           49.913304          
419                 4.195000            61.900638           -0.398405           37.383423          
420                 4.205000            62.064519           -0.650521           22.374520          
421                 4.215000            62.228540           -0.930683           5.804533           
422                 4.225000            62.392704           -1.221860           -11.311725         
423                 4.235000            62.557010           -1.506128           -27.919326         
424                 4.245000            62.721459           -1.765663           -42.981982         
425                 4.255000            62.886053           -1.983732           -55.539568         
426                 4.265000            63.050790           -2.145630           -64.761308         
427                 4.275000            63.215674           -2.239509           -69.991701         
428                 4.285000            63.380703           -2.257046           -70.786732         
429                 4.295000            63.545880           -2.193926           -66.938413         
430                 4.305000            63.711204           -2.050112           -58.486381         
431                 4.315000            63.876676           -1.829864           -45.715958         
432                 4.325000            64.042297           -1.541549           -29.142856         
433                 4.335000            64.208068           -1.197202           -9.485424          
434                 4.345000            64.373990           -0.811906           12.373984          
435                 4.355000            64.540063           -0.402995           35.436342          
436                 4.365000            64.706288           0.010864            58.639362          
437                 4.375000            64.872667           0.410657            80.914017          
438                 4.385000            65.039198           0.778032            101.241058         
439                 4.395000            65.205885           1.096269            118.704459         
440                 4.405000            65.372726           1.351158            132.538857         
441                 4.415000            65.539724           1.531742            142.168444         
442                 4.425000            65.706878           1.630874            147.235255         
443                 4.435000            65.874190           1.645576            147.615351         
444                 4.445000            66.041660           1.577153            143.422142         
445                 4.455000            66.209289           1.431088            134.996741         
446                 4.465000            66.377079           1.216699            122.886012         
447                 4.475000            66.545029           0.946591            107.809623         
448                 4.485000            66.713142           0.635931            90.618014          
449                 4.495000            66.881416           0.301582            72.243703          
450                 4.505000            67.049854           -0.038845           53.648683          
451                 4.515000            67.218456           -0.367976           35.770873          
452                 4.525000            67.387223           -0.669641           19.472613          
453                 4.535000            67.556156           -0.929762           5.494066           
454                 4.545000            67.725256           -1.137119           -5.585897          
455                 4.555000            67.894524           -1.283949           -13.379212         
456                 4.565000            68.063960           -1.366343           -17.706935         
457                 4.575000            68.233565           -1.384416           -18.605402         
458                 4.585000            68.403340           -1.342252           -16.319983         
459                 4.595000            68.573287           -1.247615           -11.286832         
460                 4.605000            68.743406           -1.111443           -4.103753          
461                 4.615000            68.913697           -0.947162           4.508131           
462                 4.625000            69.084162           -0.769855           13.749701          
463                 4.635000            69.254803           -0.595322           22.793554          
464                 4.645000            69.425618           -0.439107           30.835296          
465                 4.655000            69.596611           -0.315520           37.143498          
466                 4.665000            69.767781           -0.236733           41.105488          
467                 4.675000            69.939129           -0.211984           42.266409          
468                 4.685000            70.110657           -0.246951           40.359316          
469                 4.695000            70.282365           -0.343317           35.324623          
470                 4.705000            70.454254           -0.498558           27.317776          
471                 4.715000            70.626326           -0.705980           16.704691          
472                 4.725000            70.798580           -0.954978           4.045170           
473                 4.735000            70.971019           -1.231537           -9.934823          
474                 4.745000            71.143644           -1.518922           -24.380563         
475                 4.755000            71.316454           -1.798538           -38.353607         
476                 4.765000            71.489452           -2.050912           -50.882070         
477                 4.775000            71.662637           -2.256735           -61.013417         
478                 4.785000            71.836012           -2.397922           -67.866934         
479                 4.795000            72.009578           -2.458627           -70.683050         
480                 4.805000            72.183334           -2.426148           -68.866869         
481                 4.815000            72.357283           -2.291700           -62.023586         
482                 4.825000            72.531425           -2.050981           -49.983877         
483                 4.835000            72.705761           -1.704522           -32.817934         
484                 4.845000            72.880293           -1.257798           -10.837380         
485                 4.855000            73.055021           -0.721085           15.415021          
486                 4.865000            73.229947           -0.109078           45.187319          
487                 4.875000            73.405072           0.559722            77.550849          
488                 4.885000            73.580396           1.263800            111.441504         
489                 4.895000            73.755921           1.979588            145.707673         
490                 4.905000            73.931648           2.682513            179.162362         
491                 4.915000            74.107578           3.348109            210.636819         
492                 4.925000            74.283712           3.953112            239.032945         
493                 4.935000            74.460052           4.476496            263.371864         
494                 4.945000            74.636598           4.900397            282.836238         
495                 4.955000            74.813352           5.210875            296.804318         
496                 4.965000            74.990314           5.398482            304.874115         
497                 4.975000            75.167486           5.458608            306.876688         
498                 4.985000            75.344869           5.391585            302.878062         
499                 4.995000            75.522465           5.202566            293.169941         
500                 5.005000            75.700274           4.901162            278.249935         
501                 5.015000            75.878298           4.500887            258.792559         
502                 5.025000            76.056537           4.018426            235.612725         
503                 5.035000            76.234994           3.472773            209.623797         
504                 5.045000            76.413669           2.884288            181.792516         
