bin                 q                   Fx                  Icoh               
205                 10.275000           -1.000000           -0.241774           1.287049           
206                 10.325000           -1.000000           -0.240069           1.281850           
207                 10.375000           -1.000000           -0.237930           1.277369           
208                 10.425000           -1.000000           -0.235311           1.273666           
209                 10.475000           -1.000000           -0.232184           1.270774           
210                 10.525000           -1.000000           -0.228541           1.268689           
211                 10.575000           -1.000000           -0.224397           1.267371           
212                 10.625000           -1.000000           -0.219787           1.266748           
213                 10.675000           -1.000000           -0.214762           1.266723           
214                 10.725000           -1.000000           -0.209385           1.267183           
215                 10.775000           -1.000000           -0.203723           1.268012           
216                 10.825000           -1.000000           -0.197840           1.269099           
217                 10.875000           -1.000000           -0.191789           1.270354           
218                 10.925000           -1.000000           -0.185610           1.271710           
219                 10.975000           -1.000000           -0.179323           1.273134           
220                 11.025000           -1.000000           -0.172929           1.274622           
221                 11.075000           -1.000000           -0.166406           1.276203           
222                 11.125000           -1.000000           -0.159719           1.277929           
223                 11.175000           -1.000000           -0.152821           1.279867           
224                 11.225000           -1.000000           -0.145657           1.282090           
225                 11.275000           -1.000000           -0.138180           1.284667           
226                 11.325000           -1.000000           -0.130347           1.287649           
227                 11.375000           -1.000000           -0.122136           1.291060           
228                 11.425000           -1.000000           -0.113542           1.294895           
229                 11.475000           -1.000000           -0.104588           1.299114           
230                 11.525000           -1.000000           -0.095317           1.303641           
231                 11.575000           -1.000000           -0.085799           1.308372           
232                 11.625000           -1.000000           -0.076118           1.313178           
233                 11.675000           -1.000000           -0.066373           1.317917           
234                 11.725000           -1.000000           -0.056666           1.322447           
235                 11.775000           -1.000000           -0.047094           1.326633           
236                 11.825000           -1.000000           -0.037744           1.330359           
237                 11.875000           -1.000000           -0.028686           1.333539           
238                 11.925000           -1.000000           -0.019965           1.336121           
239                 11.975000           -1.000000           -0.011599           1.338090           
240                 12.025000           -1.000000           -0.003581           1.339468           
241                 12.075000           -1.000000           0.004123            1.340309           
242                 12.125000           -1.000000           0.011564            1.340694           
243                 12.175000           -1.000000           0.018808            1.340717           
244                 12.225000           -1.000000           0.025930            1.340481           
245                 12.275000           -1.000000           0.032999            1.340083           
246                 12.325000           -1.000000           0.040077            1.339603           
247                 12.375000           -1.000000           0.047209            1.339100           
248                 12.425000           -1.000000           0.054418            1.338602           
249                 12.475000           -1.000000           0.061702            1.338107           
250                 12.525000           -1.000000           0.069035            1.337579           
251                 12.575000           -1.000000           0.076365            1.336957           
252                 12.625000           -1.000000           0.083624            1.336154           
253                 12.675000           -1.000000           0.090727            1.335072           
254                 12.725000           -1.000000           0.097585            1.333607           
255                 12.775000           -1.000000           0.104107            1.331658           
256                 12.825000           -1.000000           0.110215            1.329139           
257                 12.875000           -1.000000           0.115841            1.325983           
258                 12.925000           -1.000000           0.120938            1.322149           
259                 12.975000           -1.000000           0.125483            1.317623           
260                 13.025000           -1.000000           0.129473            1.312419           
261                 13.075000           -1.000000           0.132930            1.306575           
262                 13.125000           -1.000000           0.135890            1.300149           
263                 13.175000           -1.000000           0.138405            1.293212           
264                 13.225000           -1.000000           0.140532            1.285841           
265                 13.275000           -1.000000           0.142328            1.278110           
266                 13.325000           -1.000000           0.143844            1.270085           
267                 13.375000           -1.000000           0.145120            1.261817           
268                 13.425000           -1.000000           0.146179            1.253338           
269                 13.475000           -1.000000           0.147028            1.244661           
270                 13.525000           -1.000000           0.147655            1.235779           
271                 13.575000           -1.000000           0.148032            1.226666           
272                 13.625000           -1.000000           0.148117            1.217287           
273                 13.675000           -1.000000           0.147861            1.207597           
274                 13.725000           -1.000000           0.147213            1.197549           
275                 13.775000           -1.000000           0.146125            1.187105           
276                 13.825000           -1.000000           0.144556            1.176233           
277                 13.875000           -1.000000           0.142479            1.164917           
278                 13.925000           -1.000000           0.139884            1.153159           
279                 13.975000           -1.000000           0.136778            1.140979           
280                 14.025000           -1.000000           0.133184            1.128411           
281                 14.075000           -1.000000           0.129143            1.115506           
282                 14.125000           -1.000000           0.124705            1.102325           
283                 14.175000           -1.000000           0.119931            1.088934           
284                 14.225000           -1.000000           0.114881            1.075400           
285                 14.275000           -1.000000           0.109616            1.061786           
286                 14.325000           -1.000000           0.104189            1.048147           
287                 14.375000           -1.000000           0.098643            1.034527           
288                 14.425000           -1.000000           0.093009            1.020956           
289                 14.475000           -1.000000           0.087305            1.007453           
290                 14.525000           -1.000000           0.081538            0.994025           
291                 14.575000           -1.000000           0.075704            0.980670           
292                 14.625000           -1.000000           0.069795            0.967379           
293                 14.675000           -1.000000           0.063799            0.954144           
294                 14.725000           -1.000000           0.057706            0.940958           
295                 14.775000           -1.000000           0.051513            0.927818           
296                 14.825000           -1.000000           0.045227            0.914732           
297                 14.875000           -1.000000           0.038865            0.901716           
298                 14.925000           -1.000000           0.032455            0.888796           
299                 14.975000           -1.000000           0.026040            0.876006           
300                 15.025000           -1.000000           0.019667            0.863388           
301                 15.075000           -1.000000           0.013392            0.850987           
302                 15.125000           -1.000000           0.007273            0.838847           
303                 15.175000           -1.000000           0.001363            0.827009           
304                 15.225000           -1.000000           -0.004292           0.815504           
305                 15.275000           -1.000000           -0.009658           0.804355           
306                 15.325000           -1.000000           -0.014714           0.793572           
307                 15.375000           -1.000000           -0.019454           0.783152           
308                 15.425000           -1.000000           -0.023890           0.773080           
309                 15.475000           -1.000000           -0.028046           0.763329           
310                 15.525000           -1.000000           -0.031958           0.753865           
311                 15.575000           -1.000000           -0.035668           0.744651           
312                 15.625000           -1.000000           -0.039219           0.735649           
313                 15.675000           -1.000000           -0.042650           0.726825           
314                 15.725000           -1.000000           -0.045995           0.718153           
315                 15.775000           -1.000000           -0.049272           0.709615           
316                 15.825000           -1.000000           -0.052486           0.701206           
317                 15.875000           -1.000000           -0.055624           0.692935           
318                 15.925000           -1.000000           -0.058659           0.684818           
319                 15.975000           -1.000000           -0.061550           0.676883           
320                 16.025000           -1.000000           -0.064246           0.669164           
321                 16.075000           -1.000000           -0.066692           0.661696           
322                 16.125000           -1.000000           -0.068833           0.654511           
323                 16.175000           -1.000000           -0.070623           0.647637           
324                 16.225000           -1.000000           -0.072026           0.641091           
325                 16.275000           -1.000000           -0.073024           0.634878           
326                 16.325000           -1.000000           -0.073619           0.628990           
327                 16.375000           -1.000000           -0.073835           0.623404           
328                 16.425000           -1.000000           -0.073714           0.618084           
329                 16.475000           -1.000000           -0.073318           0.612983           
330                 16.525000           -1.000000           -0.072723           0.608046           
331                 16.575000           -1.000000           -0.072013           0.603217           
332                 16.625000           -1.000000           -0.071271           0.598439           
333                 16.675000           -1.000000           -0.070579           0.593659           
334                 16.725000           -1.000000           -0.070003           0.588836           
335                 16.775000           -1.000000           -0.069594           0.583941           
336                 16.825000           -1.000000           -0.069379           0.578958           
337                 16.875000           -1.000000           -0.069363           0.573889           
338                 16.925000           -1.000000           -0.069524           0.568749           
339                 16.975000           -1.000000           -0.069816           0.563570           
340                 17.025000           -1.000000           -0.070174           0.558392           
341                 17.075000           -1.000000           -0.070518           0.553264           
342                 17.125000           -1.000000           -0.070758           0.548238           
343                 17.175000           -1.000000           -0.070803           0.543366           
344                 17.225000           -1.000000           -0.070568           0.538694           
345                 17.275000           -1.000000           -0.069978           0.534261           
346                 17.325000           -1.000000           -0.068977           0.530093           
347                 17.375000           -1.000000           -0.067530           0.526203           
348                 17.425000           -1.000000           -0.065626           0.522591           
349                 17.475000           -1.000000           -0.063280           0.519242           
350                 17.525000           -1.000000           -0.060527           0.516130           
351                 17.575000           -1.000000           -0.057425           0.513217           
352                 17.625000           -1.000000           -0.054047           0.510460           
353                 17.675000           -1.000000           -0.050476           0.507810           
354                 17.725000           -1.000000           -0.046799           0.505218           
355                 17.775000           -1.000000           -0.043101           0.502638           
356                 17.825000           -1.000000           -0.039461           0.500031           
357                 17.875000           -1.000000           -0.035945           0.497362           
358                 17.925000           -1.000000           -0.032602           0.494608           
359                 17.975000           -1.000000           -0.029465           0.491755           
360                 18.025000           -1.000000           -0.026548           0.488799           
361                 18.075000           -1.000000           -0.023847           0.485747           
362                 18.125000           -1.000000           -0.021341           0.482610           
363                 18.175000           -1.000000           -0.018997           0.479407           
364                 18.225000           -1.000000           -0.016773           0.476162           
365                 18.275000           -1.000000           -0.014622           0.472898           
366                 18.325000           -1.000000           -0.012497           0.469639           
