type                Na_Na               Na_Cl               Cl_Na               Cl_Cl               
1.835000            4.047319            -2.683466           -2.683466           4.047319            
1.845000            6.012677            -3.968261           -3.968261           6.012677            
1.855000            7.948379            -5.279226           -5.279226           7.948379            
1.865000            9.787207            -6.576131           -6.576131           9.787207            
1.875000            11.464269           -7.817940           -7.817940           11.464269           
1.885000            12.919723           -8.964481           -8.964481           12.919723           
1.895000            14.101316           -9.978109           -9.978109           14.101316           
1.905000            14.966599           -10.825240          -10.825240          14.966599           
1.915000            15.484750           -11.477727          -11.477727          15.484750           
1.925000            15.637899           -11.913964          -11.913964          15.637899           
1.935000            15.421910           -12.119711          -12.119711          15.421910           
1.945000            14.846576           -12.088572          -12.088572          14.846576           
1.955000            13.935235           -11.822114          -11.822114          13.935235           
1.965000            12.723805           -11.329637          -11.329637          12.723805           
1.975000            11.259304           -10.627593          -10.627593          11.259304           
1.985000            9.597897            -9.738706           -9.738706           9.597897            
1.995000            7.802587            -8.690836           -8.690836           7.802587            
2.005000            5.940620            -7.515641           -7.515641           5.940620            
2.015000            4.080749            -6.247127           -6.247127           4.080749            
2.025000            2.290447            -4.920148           -4.920148           2.290447            
2.035000            0.633221            -3.568932           -3.568932           0.633221            
2.045000            -0.833895           -2.225724           -2.225724           -0.833895           
2.055000            -2.062527           -0.919590           -0.919590           -2.062527           
2.065000            -3.014767           0.324544            0.324544            -3.014767           
2.075000            -3.664509           1.486587            1.486587            -3.664509           
2.085000            -3.998271           2.551685            2.551685            -3.998271           
2.095000            -4.015481           3.510318            3.510318            -4.015481           
2.105000            -3.728216           4.358101            4.358101            -3.728216           
2.115000            -3.160418           5.095324            5.095324            -3.160418           
2.125000            -2.346632           5.726255            5.726255            -2.346632           
2.135000            -1.330337           6.258275            6.258275            -1.330337           
2.145000            -0.161929           6.700892            6.700892            -0.161929           
2.155000            1.103524            7.064713            7.064713            1.103524            
2.165000            2.408671            7.360428            7.360428            2.408671            
2.175000            3.696304            7.597887            7.597887            3.696304            
2.185000            4.911705            7.785308            7.785308            4.911705            
2.195000            6.004830            7.928679            7.928679            6.004830            
2.205000            6.932229            8.031383            8.031383            6.932229            
2.215000            7.658636            8.094063            8.094063            7.658636            
2.225000            8.158163            8.114735            8.114735            8.158163            
2.235000            8.415059            8.089128            8.089128            8.415059            
2.245000            8.424024            8.011241            8.011241            8.424024            
2.255000            8.190057            7.874052            7.874052            8.190057            
2.265000            7.727887            7.670350            7.670350            7.727887            
2.275000            7.061000            7.393614            7.393614            7.061000            
2.285000            6.220325            7.038886            7.038886            6.220325            
2.295000            5.242659            6.603577            6.603577            5.242659            
2.305000            4.168887            6.088134            6.088134            4.168887            
